# E + O2 -> E + O2(v3), Excitation
# Source: LXCat, Phelps database
# Target: O2 -> O2(v3)
# Threshold: 0.57 eV
# Comment: O2 v=3 - LINDER AND SCHMIDT WITH 9EV RES FROM WONG-TRAJMAR.
# Updated: 2010-03-13 11:43:42
# Data points: 48
energy_eV,cross_section_m2
0.0,0.0
0.57,0.0
0.68,0.0
0.69,3.7e-23
0.71,0.0
0.79,0.0
0.8,2.15e-22
0.82,0.0
0.9,0.0
0.91,9e-22
0.93,0.0
1.02,0.0
1.03,1.2e-21
1.05,0.0
1.13,0.0
1.14,1.15e-21
1.16,0.0
1.23,0.0
1.24,9.5e-22
1.26,0.0
1.34,0.0
1.35,5.5e-22
1.37,0.0
1.44,0.0
1.45,3e-22
1.47,0.0
1.54,0.0
1.55,1.65e-22
1.57,0.0
1.63,0.0
1.65,8e-23
1.67,0.0
3.5,0.0
4.0,0.0
5.0,0.0
6.0,1.25e-22
7.0,3.63e-22
8.0,5.88e-22
9.0,7.5e-22
10.0,6.75e-22
11.0,5.63e-22
12.0,4.75e-22
13.0,3e-22
14.0,1.75e-22
15.0,8.8e-23
20.0,0.0
45.0,0.0
10000.0,0.0
